Course,Branch,College,Collegeid
B&I,BLSITM,205
B&I,DIRD,124
B&I,MSI,149
B&I,MSI,212
B&I,SGTBIMIT,902
B&I,VIPS,177
CAM,CPJCHS,215
CAM,CPJCHS,242
CAM,IIMT,134
CAM,IIMT,210
G,BCIPS,505
G,BCIPS,612
G,BLSITM,205
G,BPIBS,114
G,CPJCHS,215
G,CPJCHS,242
G,DIRD,124
G,DIRD,900
G,DME,511
G,DSPSR,125
G,DSPSR,217
G,FIMT,514
G,FIMT,901
G,IIMT,134
G,IIMT,210
G,IITM2,244
G,IITM2,903
G,IITM,137
G,IITM,211
G,JIMS-K,141
G,JIMS-K,245
G,JIMS-R,140
G,JIMS-R,504
G,JIMS-VK,142
G,JIMS-VK,214
G,JIMSEMTC,255
G,KIHEAT,967
G,KRCHE,193
G,KRCHE,515
G,LLDIMS,192
G,MAIMS,147
G,MAIMS,611
G,MBIT,906
G,MERI,151
G,MSI,149
G,MSI,212
G,MVSIT,551
G,NDIM,155
G,NDIM,506
G,RDIAS,159
G,RDIAS,803
G,SGIT,247
G,SGTBIMIT,902
G,SHDCHE,969
G,TIAS,170
G,TIAS,213
G,TIAS,804
G,TIPS,206
G,TIPS,240
G,VIPS,177
G,VIPS,298
INTEGRATED-5Y,GIBS,191
TTM,BLSITM,205
TTM,CPJCHS,215
TTM,CPJCHS,242
TTM,DIRD,124
TTM,GIBS,191
TTM,IIMT,134
TTM,IIMT,210
TTM,MSI,149
TTM,MSI,212
TTM,RDIAS,159
TTM,RDIAS,803
TTM,SGTBIMIT,902
TTM,TIPS,206
TTM,TIPS,240
TTM,VIPS,177
TTM,VIPS,298
