08821202024,bca,24,212,BCA
04521202024,bca,24,212,BCA
08421202024,bca,24,212,BCA
09521202024,bca,24,212,BCA
02621202024,bca,24,212,BCA
35921202024,bca,24,212,BCA
09121202024,bca,24,212,BCA
35221202024,bca,24,212,BCA
08721202024,bca,24,212,BCA
50921202024,bca,24,212,BCA
04421202024,bca,24,212,BCA
01521202024,bca,24,212,BCA
08321202024,bca,24,212,BCA
09721202024,bca,24,212,BCA
09321202024,bca,24,212,BCA
50721202024,bca,24,212,BCA
08121202024,bca,24,212,BCA
02721202024,bca,24,212,BCA
06921202024,bca,24,212,BCA
50221202024,bca,24,212,BCA
