Enrollment Number,Course,Batch,College ID,Branch
02069997024,ba,24,699,BA-BED-4Y
04369997024,ba,24,699,BA-BED-4Y
04669997024,ba,24,699,BA-BED-4Y
00569997024,ba,24,699,BA-BED-4Y
04869997024,ba,24,699,BA-BED-4Y
04569997024,ba,24,699,BA-BED-4Y
01769997024,ba,24,699,BA-BED-4Y
01969997024,ba,24,699,BA-BED-4Y
02369997024,ba,24,699,BA-BED-4Y
02969997024,ba,24,699,BA-BED-4Y
02769997024,ba,24,699,BA-BED-4Y
04069997024,ba,24,699,BA-BED-4Y
02569997024,ba,24,699,BA-BED-4Y
02169997024,ba,24,699,BA-BED-4Y
04269997024,ba,24,699,BA-BED-4Y
01669997024,ba,24,699,BA-BED-4Y
02269997024,ba,24,699,BA-BED-4Y
00269997024,ba,24,699,BA-BED-4Y
00769997024,ba,24,699,BA-BED-4Y
00969997024,ba,24,699,BA-BED-4Y
03269997024,ba,24,699,BA-BED-4Y
03469997024,ba,24,699,BA-BED-4Y
01369997024,ba,24,699,BA-BED-4Y
03369997024,ba,24,699,BA-BED-4Y
02869997024,ba,24,699,BA-BED-4Y
03569997024,ba,24,699,BA-BED-4Y
03669997024,ba,24,699,BA-BED-4Y
03869997024,ba,24,699,BA-BED-4Y
04769997024,ba,24,699,BA-BED-4Y
01269997024,ba,24,699,BA-BED-4Y
01569997024,ba,24,699,BA-BED-4Y
01869997024,ba,24,699,BA-BED-4Y
03769997024,ba,24,699,BA-BED-4Y
01469997024,ba,24,699,BA-BED-4Y
03169997024,ba,24,699,BA-BED-4Y
03969997024,ba,24,699,BA-BED-4Y
01169997024,ba,24,699,BA-BED-4Y
00869997024,ba,24,699,BA-BED-4Y
02469997024,ba,24,699,BA-BED-4Y
04169997024,ba,24,699,BA-BED-4Y
03069997024,ba,24,699,BA-BED-4Y
00669997024,ba,24,699,BA-BED-4Y
04469997024,ba,24,699,BA-BED-4Y
00469997024,ba,24,699,BA-BED-4Y
00719421624,ba,24,194,ECONOMICS
00119421624,ba,24,194,ECONOMICS
00319421624,ba,24,194,ECONOMICS
50319421624,ba,24,194,ECONOMICS
50419421624,ba,24,194,ECONOMICS
00419421624,ba,24,194,ECONOMICS
35219421624,ba,24,194,ECONOMICS
50119421624,ba,24,194,ECONOMICS
50519421624,ba,24,194,ECONOMICS
50219421624,ba,24,194,ECONOMICS
35119421624,ba,24,194,ECONOMICS
00619421624,ba,24,194,ECONOMICS
00519421624,ba,24,194,ECONOMICS
50619421624,ba,24,194,ECONOMICS
50214021624,ba,24,140,ECONOMICS
50614021624,ba,24,140,ECONOMICS
50814021624,ba,24,140,ECONOMICS
02614021624,ba,24,140,ECONOMICS
50414021624,ba,24,140,ECONOMICS
00814021624,ba,24,140,ECONOMICS
52814021624,ba,24,140,ECONOMICS
01114021624,ba,24,140,ECONOMICS
00414021624,ba,24,140,ECONOMICS
51114021624,ba,24,140,ECONOMICS
50914021624,ba,24,140,ECONOMICS
51014021624,ba,24,140,ECONOMICS
01714021624,ba,24,140,ECONOMICS
00214021624,ba,24,140,ECONOMICS
02414021624,ba,24,140,ECONOMICS
01614021624,ba,24,140,ECONOMICS
02114021624,ba,24,140,ECONOMICS
35114021624,ba,24,140,ECONOMICS
00614021624,ba,24,140,ECONOMICS
01014021624,ba,24,140,ECONOMICS
51314021624,ba,24,140,ECONOMICS
00914021624,ba,24,140,ECONOMICS
52914021624,ba,24,140,ECONOMICS
51414021624,ba,24,140,ECONOMICS
51614021624,ba,24,140,ECONOMICS
50314021624,ba,24,140,ECONOMICS
51914021624,ba,24,140,ECONOMICS
02014021624,ba,24,140,ECONOMICS
51514021624,ba,24,140,ECONOMICS
00714021624,ba,24,140,ECONOMICS
